bf,HR,BV,UB
58 Psc,213,0.97,
59 Psc,214,0.27,0.18
34 Zeta And,215,1.12,0.9
60 Psc,216,0.94,0.7
,218,1.3,1.46
23 Cas,208,-0.08,-0.39
61 Psc,217,0.5,0.03
,220,-0.06,-0.12
,212,1.01,0.82
62 Psc,221,1.1,1
,222,0.88,0.59
Lambda Hyi,236,1.37,1.68
63 Delta Psc,224,1.5,1.86
25 Nu Cas,223,-0.11,-0.42
,229,0.9,
64 Psc,225,0.51,0
24 Eta Cas,219,0.57,0.01
,228,0.95,0.72
,227,1.3,1.54
,232,0.13,0.13
35 Nu And,226,-0.15,-0.58
65 Psc,230,0.36,0.06
65 Psc,231,,
,239,0.29,0.12
19 Phi2 Cet,235,0.5,-0.02
,234,0.01,-0.03
Rho Phe,242,0.36,0.16
,233,0.49,0.14
,238,0.28,0.12
,237,1.88,1.84
,243,1.07,0.89
,241,,
,245,0.35,
Lambda1 Tuc,252,0.56,0.08
,247,1.24,1.21
,246,0.02,0.1
20 Cet,248,1.57,1.93
,244,0.53,0.12
,251,0.44,0.03
,249,1.14,
,257,1.56,1.77
,250,0.19,0.15
21 Cet,255,0.92,0.54
66 Psc,254,-0.01,-0.14
,240,0.09,0.1
36 And,258,1,0.9
26 Upsilon1 Cas,253,1.21,1.26
Lambda2 Tuc,270,1.09,1
,256,1.68,2
,259,1.62,1.75
,263,1.52,1.93
,268,1.67,1.97
67 Psc,262,0.14,0.09
22 Phi3 Cet,267,1.52,1.78
,260,1.37,
28 Upsilon2 Cas,265,0.96,0.69
27 Gamma Cas,264,-0.15,-1.08
37 Mu And,269,0.13,0.15
,266,-0.07,-0.32
,261,0.38,-0.02
38 Eta And,271,0.94,0.69
,272,1.02,0.89
68 Psc,274,1.08,
,276,0.89,0.57
,275,1,
,277,0.09,0.11
,281,0.1,0.13
,273,-0.02,-0.13
Alpha Scl,280,-0.16,-0.56
23 Phi4Cet,279,0.97,0.66
,284,1.67,1.92
,282,,
,283,-0.01,-0.04
,278,0.13,0.11
Xi Scl,288,1.18,
Omega Phe,295,0.94,
,287,,
Sigma Scl,293,0.08,0.13
,304,1.64,1.91
69 Sigma Psc,291,-0.05,-0.18
,299,0.9,
39 And,290,0.16,0.1
71 Epsilon Psc,294,0.96,0.7
,289,0.25,0.09
25 Cet,296,1.11,1.04
,300,0.93,0.59
,292,0.49,
26 Cet,301,0.27,0.13
,298,1.47,
,297,0.54,0.11
,303,0.43,-0.05
,305,0.31,0.04
,302,-0.08,-0.57
73 Psc,307,1.51,1.86
72 Psc,308,0.41,-0.06
27 Cet,315,1.01,0.86
74 Psi1 Psc,310,-0.03,-0.06
74 Psi2 Psc,311,-0.07,-0.16
77 Psc,313,0.38,-0.05
77 Psc,314,0.49,-0.04
Beta Phe,322,0.89,0.57
28 Cet,317,0.01,
,320,1.09,1
,309,0.19,0.06
,323,0.14,0.16
75 Psc,319,0.96,
,316,1.18,1.26
,318,,
,325,0.23,0.09
Iota Tuc,332,0.88,
30 Cet,329,0.43,0.02
Upsilon Phe,331,0.16,0.09
79 Psi2 Psc,328,0.13,0.13
41 And,324,0.11,0.14
