bf,HR,BV,UB
,1016,0.88,0.59
32 Per,1002,0.04,0.07
,1021,1,
,1001,0.43,-0.02
62 Ari,1012,1.1,0.91
,1018,0.01,
63 Tau2Ari,1015,1.24,1.27
,1011,-0.07,-0.54
,1024,0.7,0.16
,1023,0.86,0.51
,1031,1.37,
,1053,0.48,0.25
,1028,1.23,1.09
64 Ari,1022,1.19,
33 Alpha Per,1017,0.48,0.37
65 Ari,1027,-0.04,-0.08
,1019,-0.03,-0.16
,1009,2.08,2.06
1 Omicron Tau,1030,0.89,0.61
,1026,,
,1064,0.42,0.01
,1020,0.29,0.07
Chi1 For,1042,0.08,
,1029,-0.07,-0.49
,1049,0.06,0.05
,1045,0.94,
,1036,0.15,0.1
2 Xi Tau,1038,-0.09,-0.33
,1039,-0.02,-0.07
Chi2 For,1054,1.29,
,1050,1.1,1.04
,1034,-0.09,-0.56
Chi3 For,1058,0.13,0.08
,1041,0.02,0.14
,1033,0.02,-0.23
66 Ari,1048,0.95,
,1037,-0.04,-0.45
,1035,0.41,-0.24
34 Per,1044,-0.09,-0.57
Kappa Ret,1083,0.4,-0.04
,1047,0.13,-0.25
,1062,0.17,0.11
,1060,1.02,0.87
,1040,0.56,-0.11
,1075,0.22,
,1109,0.93,0.65
,1046,0.05,0.04
,1043,0.08,
,1076,0.48,
,1032,1.8,1.88
4 Tau,1061,-0.03,-0.07
35 Sigma Per,1052,1.35,1.54
,1051,-0.04,-0.32
,1081,0.11,
17 Eri,1070,-0.09,-0.27
,1067,0.96,0.64
,1092,-0.06,-0.33
5 Tau,1066,1.12,1.02
,1065,,
,1056,0.09,0.12
,1059,0.09,-0.14
,1082,0.12,
,1063,-0.1,-0.57
,965,0.92,0.49
36 Per,1069,0.4,-0.02
,1090,1.1,1.16
6 Tau,1079,-0.08,-0.3
,1072,0.03,-0.72
,1074,-0.06,-0.85
,1096,1.04,0.91
18 Epsilon Eri,1084,0.88,0.59
,1068,0.14,0.15
,1078,0.11,0.12
,1073,0.11,
,1071,0.51,0.03
19 Tau5 Eri,1088,-0.11,-0.35
,1093,0.48,
,1085,0.89,0.54
,1104,0.17,0.15
7 Tau,1086,0.13,0.17
,1095,1.4,
,1091,0.02,
,1089,0.63,0.16
,1077,0.39,-0.07
,1055,0.03,0.02
,1098,0.91,
20 Eri,1100,-0.13,-0.49
37 Psi Per,1087,-0.06,-0.57
,1154,1.15,1.03
,1099,0.92,0.46
10 Tau,1101,0.58,0.07
,1106,1.04,0.77
,1102,0.17,-0.06
,1097,-0.06,-0.37
,1094,-0.13,-0.35
,1108,0.98,0.76
Tau For,1114,-0.02,
,1103,0.15,0.19
21 Eri,1111,0.92,0.66
,1080,0.97,0.65
,1117,1.03,
,1110,1,0.69
,1116,1.04,0.89
12 Tau,1115,0.94,0.67
,1119,1,0.77
,1120,0.88,
22 Eri,1121,-0.15,-0.57
11 Tau,1118,0.06,0.16
,1113,-0.07,-0.41
,1125,0.36,0.02
,1128,0.09,
,1105,1.63,1.82
Delta For,1134,-0.16,-0.6
13 Tau,1126,-0.01,-0.27
40 Per,1123,-0.01,-0.84
,1271,-0.01,-0.1
,1112,1.71,1.82
,1143,1.2,1.31
39 Delta Per,1122,-0.13,-0.51
23 Delta Eri,1136,0.92,0.69
,1139,0.22,0.1
14 Tau,1132,1.01,0.74
,1157,1.06,1.01
,1127,1.55,1.83
Beta Ret,1175,1.13,1.1
38 Omicron Per,1131,0.05,-0.75
,1137,0.01,0.06
24 Eri,1146,-0.1,-0.39
,1133,0.06,0.15
,1168,1.04,0.89
,1130,0.28,0.21
16 Tau,1140,-0.04,-0.33
,1167,1.02,
17 Tau,1142,-0.11,-0.4
25 Eri,1150,1.42,1.72
18 Tau,1144,-0.07,-0.36
41 Nu Per,1135,0.42,0.31
19 Tau,1145,-0.11,-0.46
,1169,0.96,
29 Tau,1153,-0.12,-0.61
20 Tau,1149,-0.07,-0.4
21 Tau,1151,-0.04,-0.23
,1141,-0.07,-0.45
,1124,0.35,0.07
,1129,0.8,0.25
22 Tau,1152,-0.02,-0.15
26 Pi Eri,1162,1.63,2.01
,1159,0.99,0.76
23 Tau,1156,-0.06,-0.42
Sigma For,1171,0.12,
27 Tau6Eri,1173,0.42,0
Gamma Hyi,1208,1.62,1.99
,1179,0.49,-0.03
25 Eta Tau,1165,-0.09,-0.34
,1147,-0.03,-0.15
28 Tau7 Eri,1181,0.07,0.15
,1164,0.47,
,1186,-0.1,
,1163,0.08,-0.61
Rho For,1184,0.98,0.66
30 Tau,1174,-0.13,-0.6
,1160,0.06,-0.32
,1172,-0.07,-0.32
,1189,0.01,0.01
,1187,1.64,
,1190,-0.03,-0.07
,1182,1.23,1.31
,1170,0.29,0.09
27 Tau,1178,-0.09,-0.36
28 Tau,1180,-0.08,-0.28
,1138,0.09,0.12
,1161,0.06,0.02
,1195,0.95,0.69
,1155,1.88,2.13
42 Per,1177,0.07,0.11
,1158,0.18,
,1183,-0.05,-0.19
,1185,-0.01,-0.32
,1176,0.76,
,1188,0.21,0.08
Gamma Cam,1148,0.03,0.07
,1200,-0.04,
,1194,-0.07,-0.48
,1193,,
,1166,-0.08,-0.23
,1191,0,-0.8
31 Tau,1199,0.06,-0.43
,1197,0.2,0.14
30 Eri,1202,-0.1,-0.41
,1201,0.34,0
,1206,0.88,
,1216,1.24,1.35
,1198,1.05,0.95
,1214,-0.13,
33 Tau8Eri,1213,-0.13,-0.48
,1192,0.18,0.11
44 Zeta Per,1203,0.12,-0.77
32 Eri,1211,0.09,0.07
32 Eri,1212,0.94,0.69
,1219,0.6,
,1227,0.16,0.13
,1217,0.32,0.03
,1209,0.29,-0.82
,1207,-0.08,-0.47
,1236,1.1,1.02
,1215,-0.03,-0.75
,1196,0.3,0
43 Per,1210,0.41,0
,1225,0.28,0.14
32 Tau,1218,0.3,-0.02
,1224,0.06,0.05
33 Tau,1221,0.02,-0.01
,1205,1.45,1.26
,1204,-0.09,-0.16
,1222,1.37,
45 Epsilon Per,1220,-0.18,-0.99
34 Gamma Eri,1231,1.59,1.96
,1223,0.23,
,1226,1.08,0.98
,1245,0.44,-0.01
Delta Ret,1247,1.62,1.96
,1232,1,0.85
46 Xi Per,1228,0.01,-0.92
,1235,1.48,1.76
,1229,0.1,0.13
,1233,0.42,0
36 Tau9 Eri,1240,-0.13,-0.42
,1250,1.64,1.95
,1237,0.06,0.01
,1246,0.04,
35 Lambda Tau,1239,-0.12,-0.62
,1238,0.32,0.04
Gamma Ret,1264,1.65,1.81
,1234,-0.01,-0.07
Iota Ret,1266,1.42,1.7
35 Eri,1244,-0.15,-0.55
,1243,0.02,-0.41
,1249,0.5,0
38 Nu Tau,1251,0.03,0.07
,1258,-0.18,-0.8
,1259,1.22,
40 Tau,1253,-0.08,-0.57
,1254,0.37,0
,1263,1.26,
,1257,0.5,0.04
36 Tau,1252,0.86,
,1265,1.08,0.97
,1242,0.5,0.49
,1267,1.16,
37 Tau,1256,1.07,0.95
39 Tau,1262,0.62,0.12
,1275,0.31,0.05
,1274,0.92,
,1272,0.06,0.09
,1241,1.54,
47 Lambda Per,1261,0.02,-0.04
41 Tau,1268,-0.13,-0.47
,1255,0.99,0.75
,1248,0.14,0.17
42 Psi Tau,1269,0.34,-0.04
,1294,0.64,0.11
,1285,0.93,0.61
,1279,0.4,0.02
,1260,0.42,-0.5
,1280,1.5,
49 Per,1277,0.95,0.75
,1291,0.38,0
50 Per,1278,0.46,-0.03
48 Per,1273,-0.03,-0.55
,1284,0.05,-0.06
43 Omega1 Tau,1283,1.07,
,1288,-0.15,-0.53
,1276,,
,1270,1.14,0.92
,1107,0.37,0
,1230,0.56,0.3
37 Eri,1290,0.94,0.67
,1299,1.07,0.96
,1293,1.06,0.93
44 Tau,1287,0.34,0.06
Delta Hor,1302,0.33,0.07
,1286,1.44,1.47
45 Tau,1292,0.36,0.01
,1300,0.18,0.09
38 Omicron1 Eri,1298,0.33,0.13
,1295,1.08,0.96
,1316,1.48,1.81
,1297,0.19,-0.27
,1282,1.18,
,1308,0.16,0.13
46 Tau,1309,0.36,0.01
,1307,0.05,-0.33
,1323,1.46,
,1312,-0.13,-0.56
,1281,1.01,
,1310,1.16,1.12
47 Tau,1311,0.8,0.5
,1301,,
Alpha Hor,1326,1.1,1
39 Eri,1318,1.17,1.15
Alpha Ret,1336,0.91,0.63
,1315,-0.1,-0.34
,1340,1.1,1.03
52 Per,1306,1.01,0.65
51 Mu Per,1303,0.95,0.64
,1296,0.61,0.5
40 Omicron2 Eri,1325,0.82,0.45
,1321,0.7,0.22
,1322,0.59,0.05
49 Mu Tau,1320,-0.06,-0.53
48 Tau,1319,0.4,0.02
Gamma Dor,1338,0.3,0.03
,1357,0.07,0.01
Epsilon Ret,1355,1.08,1.07
,1314,0.05,
,1305,-0.14,-0.51
,1313,1.09,
50 Omega2 Tau,1329,0.26,0.11
,1332,1.08,0.94
Theta Ret,1372,-0.07,-0.26
41 Upsilon4 Eri,1347,-0.12,-0.37
Delta Men,1426,0.84,0.53
,1328,-0.08,-0.29
,1324,0.04,0.03
,1345,1.67,1.82
51 Tau,1331,0.28,0.08
,1334,0.16,0.17
,1353,0.3,0.2
,1365,0.49,
,1359,0.13,0.11
,1330,0.22,0.12
,1364,1.08,0.95
53 Tau,1339,-0.08,-0.25
56 Tau,1341,-0.14,-0.39
,1349,1.43,1.6
54 Gamma Tau,1346,0.99,0.82
57 Tau,1351,0.28,0.08
,1344,1.71,
,1333,-0.01,-0.75
,1337,0.94,
52 Phi Tau,1348,1.15,1.08
54 Per,1343,0.94,0.69
,1354,0.37,0.02
58 Tau,1356,0.22,0.1
,1362,0.91,0.56
,1367,-0.02,
,1327,0.81,0.47
,1360,0.92,0.68
,1363,-0.13,-0.49
,1361,0.15,0.11
,1358,0.46,0.01
Nu Men,1456,0.35,0.05
,1366,1.32,1.52
,1374,0.35,0
53 Per,1350,-0.03,-0.52
,1335,1.49,1.81
,1342,,
Eta Ret,1395,0.96,0.69
60 Tau,1368,0.32,0.1
,1370,1.66,
59 Chi Tau,1369,-0.05,-0.08
,1485,0.2,0.1
61 Delta1 Tau,1373,0.98,0.82
,1352,,
,1384,1.51,
,1386,1.24,
63 Tau,1376,0.3,0.13
,1375,0.03,-0.26
,1371,0,-0.15
42 Xi Eri,1383,0.08,0.08
66 Tau,1381,0.07,0.11
62 Tau,1378,0.17,-0.35
43 Eri,1393,1.49,1.8
64 Delta2 Tau,1380,0.15,0.12
,1405,0.66,0.19
55 Per,1377,-0.06,-0.34
56 Per,1379,0.4,-0.12
,1398,0.44,
,1385,0.37,0.04
,1416,1.54,1.85
,1404,0.44,
65 Kappa1 Tau,1387,0.13,0.13
67 Kappa2 Tau,1388,0.25,0.1
68 Delta3 Tau,1389,0.05,0.08
70 Tau,1391,0.49,0.02
,1390,0.97,0.8
69 Upsilon Tau,1392,0.26,0.14
71 Tau,1394,0.25,0.14
,1397,0.02,-0.42
73 Pi Tau,1396,0.98,0.72
,1410,0.14,
,1400,1.09,1.03
,1382,0.04,0.02
,1317,1.17,
,1418,0.46,
72 Tau,1399,-0.1,-0.48
,1402,0.05,-0.33
,1435,1.01,0.82
,1403,0.27,0.1
,1413,1.02,0.81
,1429,1.64,1.95
,1289,-0.13,-0.51
76 Tau,1408,0.32,0.06
75 Tau,1407,1.13,1.1
,1415,-0.1,-0.55
77 Theta1 Tau,1411,0.95,0.73
74 Epsilon Tau,1409,1.01,0.88
,1421,1.22,
78 Theta2 Tau,1412,0.18,0.13
79 Tau,1414,0.23,0.12
,1406,0.52,0.08
,1423,-0.23,-0.89
,1433,1.06,
,1420,0.09,-0.37
,1304,0.87,0.46
,1425,1.03,0.82
80 Tau,1422,0.32,0.1
,1431,1,0.73
,1427,0.17,0.13
83 Tau,1430,0.26,0.1
,1419,-0.04,-0.13
81 Tau,1428,0.26,0.1
,1439,1,
Delta Cae,1443,-0.19,-0.78
,1424,0.04,-0.36
,1438,0.12,0.09
85 Tau,1432,0.34,0.04
45 Eri,1437,1.32,1.44
1 Cam,1417,0.18,-0.73
,1436,0.42,0
,1441,-0.14,-0.54
,1447,1.38,1.45
57 Per,1434,0.38,0.01
50 Upsilon1 Eri,1453,0.98,0.72
,1401,0.3,0.18
,1442,0.07,-0.1
,1475,1.04,0.9
,1446,1.06,0.82
86 Rho Tau,1444,0.25,0.08
46 Eri,1449,-0.13,-0.46
Alpha Dor,1465,-0.1,-0.35
,1448,0.05,0.11
47 Eri,1451,1.7,2.02
,1452,1.47,1.73
,1450,1.38,1.64
,1445,-0.06,-0.36
,1461,1.17,
,1460,0.11,0.1
52 Upsilon2 Eri,1464,0.98,0.72
88 Tau,1458,0.18,0.11
,1455,,
87 Alpha Tau,1457,1.54,1.9
,1462,-0.1,-0.43
48 Nu Eri,1463,-0.21,-0.89
,1440,-0.03,-0.02
,1459,0.38,0.02
58 Per,1454,1.22,0.82
,1492,1.58,0.86
,1476,-0.1,
,1469,-0.12,-0.45
51 Eri,1474,0.28,0.04
89 Tau,1472,0.31,0.06
90 Tau,1473,0.12,0.13
53 Eri,1481,1.09,1.01
,1471,-0.05,-0.35
,1531,1.1,0.95
,1470,,
,1483,0.07,0.09
,1498,1.32,
,1480,0.26,0.13
91 Sigma1 Tau,1478,0.15,0.2
92 Sigma2 Tau,1479,0.15,0.13
,1487,1.06,
,1477,0.16,0.11
,1488,0.94,0.7
3 Cam,1467,1.07,0.89
2 Cam,1466,0.32,0.07
93 Tau,1484,-0.12,-0.49
,1495,0.92,
,1504,0.68,0.24
54 Eri,1496,1.61,1.81
Alpha Cae,1502,0.34,0.01
,1490,-0.03,-0.01
,1482,-0.02,-0.02
,1489,0.57,0.06
Beta Cae,1503,0.37,0.04
94 Tau Tau,1497,-0.13,-0.57
Lambda Pic,1516,0.98,0.74
59 Per,1494,0,0.02
Mu Men,1541,-0.12,-0.46
,1509,1.41,1.6
95 Tau,1499,0.54,0.07
,1486,,
,1493,0.02,-0.25
55 Eri,1505,0.39,0.14
55 Eri,1506,0.92,0.59
,1518,1.46,1.78
,1501,,
56 Eri,1508,-0.11,-0.81
,1513,0.02,0.04
,1500,0.06,-0.28
Kappa Dor,1530,0.2,
,1507,0.25,0.08
,1540,1.08,1
,1521,1.47,
57 Mu Eri,1520,-0.15,-0.6
,1512,0.06,-0.44
,1524,0,
,1526,1.07,
,1468,0.51,
,1519,0.19,0.14
,1517,1.21,1.32
,1522,0.04,0.06
,1525,0.19,
,1514,0.93,
58 Eri,1532,0.63,0.12
Zeta Cae,1539,1.07,
4 Cam,1511,0.25,0.15
,1515,,
59 Eri,1538,0.55,0.09
,1548,0.95,0.66
,1536,0.62,0.2
,1534,1.19,1.15
,1491,0.28,-0.02
,1529,1.12,1.03
,1528,0.24,0.14
,1545,0.44,-0.05
96 Tau,1537,1.6,1.72
1 Pi3 Ori,1543,0.45,-0.01
,1533,1.44,1.7
60 Eri,1549,0.98,0.77
,1557,0.37,
,1510,-0.08,-0.24
2 Pi2 Ori,1544,0.01,0
Iota Pic,1563,0.33,
Iota Pic,1564,,
,1535,0.99,0.8
3 Pi4 Ori,1552,-0.17,-0.81
97 Tau,1547,0.21,0.12
,1559,0.08,0.09
,1553,0.08,-0.44
,1527,1.57,1.76
4 Omicron1 Ori,1556,1.84,2.03
2 Aur,1551,1.41,1.58
,1554,0.37,0.16
,1550,0.11,0.14
61 Omega Eri,1560,0.25,0.16
,1606,0.52,0.01
,1546,,
5 Ori,1562,1.64,1.95
,1598,1.63,1.96
,1565,0.04,0.01
9 Alpha Cam,1542,0.03,-0.88
8 Pi 5Ori,1567,-0.18,-0.83
6 Ori,1569,0.12,0.11
,1571,1.22,1.18
,1574,-0.12,-0.56
,1558,-0.02,-0.09
,1597,0.44,-0.06
7 Pi1 Ori,1570,0.09,0.09
,1584,1.42,
,1566,0.29,0.06
5 Cam,1555,0.04,0
,1579,0.96,
Eta Men,1629,1.52,1.83
,1581,0.88,
,1583,0.27,
,1576,-0.08,-0.45
,1578,0.02,-0.01
,1561,0.11,0.1
,1575,0.33,-0.08
,1573,0.41,-0.43
9 Omicron2 Ori,1580,1.15,1.11
62 Eri,1582,-0.13,-0.56
3 Iota Aur,1577,1.53,1.78
7 Cam,1568,-0.02,-0.01
,1591,0.42,0.06
,1585,1.31,
,1595,-0.21,
99 Tau,1586,1.11,
98 Tau,1590,0,-0.02
,1596,0.1,0.11
10 Pi6 Ori,1601,1.4,1.55
Xi Men,1716,0.93,0.64
,1600,0.04,-0.27
,1604,0.43,-0.08
4 Omega Aur,1592,0.04,0.02
,1607,5.74,
8 Cam,1588,1.46,
63 Eri,1608,0.8,0.35
64 Eri,1611,0.26,0.16
,1682,1.51,1.88
5 Aur,1599,0.41,-0.03
,1523,1.28,1.47
6 Aur,1602,,
,1609,,
,1610,-0.07,-0.28
,1613,0.28,0.04
,1614,1.06,1.02
,1621,-0.05,-0.14
65 Psi Eri,1617,-0.19,-0.74
,1631,0.88,
,1593,0.41,
,1618,1.27,1.39
7 Epsilon Aur,1605,0.54,0.33
,1619,-0.04,-0.41
,1628,1.07,0.97
,1572,1.57,1.83
,1635,1.17,
8 Zeta Aur,1612,1.22,0.38
Beta Men,1677,1,0.77
1 Lep,1634,1.2,1.14
,1625,1.21,1.36
Eta1 Pic,1649,0.42,0.01
,1594,0.48,-0.04
102 Iota Tau,1620,0.16,0.15
,1615,0.16,
10 Beta Cam,1603,0.92,0.63
,1640,-0.18,-0.77
,1645,0.1,0.07
,1651,0.53,0.04
,1587,,
,1626,1.21,
,1633,1.32,1.47
Gamma1 Cae,1652,1.2,1.2
Gamma2 Cae,1653,0.3,0.08
11 Ori,1638,-0.06,-0.09
,1627,0.27,0.13
,1632,0.24,0.12
,1589,,
,1646,-0.11,-0.53
Eta2 Pic,1663,1.49,1.88
,1667,1.54,1.9
,1655,1.17,
,1648,3.45,6.5
2 Epsilon Lep,1654,1.46,1.78
Zeta Dor,1674,0.52,-0.04
,1642,0.21,0.24
,1639,0.16,0.09
11 Cam,1622,-0.08,-0.69
,1700,-0.01,0.01
12 Cam,1623,1.12,0.85
,1630,,
,1624,1.37,
10 Eta Aur,1641,-0.18,-0.67
,1661,-0.06,
9 Aur,1637,0.33,-0.01
66 Eri,1657,-0.06,-0.17
,1644,0.43,0.3
,1665,0.6,
104 Tau,1656,0.65,0.14
,1695,1.65,1.85
13 Ori,1662,0.62,0.1
106 Tau,1658,0.09,0.1
67 Beta Eri,1666,0.13,0.1
14 Ori,1664,0.33,0.1
105 Tau,1660,0.19,-0.57
103 Tau,1659,0.06,-0.57
,1680,1.08,0.94
,1671,-0.06,-0.37
68 Eri,1673,0.44,-0.05
69 Lambda Eri,1679,-0.19,-0.9
16 Ori,1672,0.24,0.16
,1636,1.11,1.03
15 Ori,1676,0.32,0.19
,1647,0.4,-0.02
,1670,0.27,0.04
,1681,1.1,1.07
,1669,0.72,
,1668,0.42,0.02
,1694,1.25,
,1685,0.98,0.81
,1687,0.46,0.04
,1693,1.46,1.23
,1699,1.62,1.95
,1690,-0.07,-0.32
,1684,1.49,1.86
,1691,0.66,0.29
3 Iota Lep,1696,-0.1,-0.4
,1643,-0.12,-0.36
,1815,1.11,1.01
,1697,0.96,0.72
5 Mu Lep,1702,-0.11,-0.39
,1675,0.02,0.08
4 Kappa Lep,1705,-0.1,-0.37
17 Rho Ori,1698,1.19,1.16
11 Mu Aur,1689,0.18,0.09
14 Cam,1678,0.21,0.12
,1701,0.42,0.28
,1704,-0.13,-0.54
Theta Dor,1744,1.28,1.39
,1715,1.47,
,1703,1.46,1.35
,1727,1.39,1.6
,1710,0.37,
,1721,1.01,
19 Beta Ori,1713,-0.03,-0.66
,1650,-0.02,-0.08
,1709,1.37,1.55
,1692,0.07,0.05
,1688,1.18,1.23
,1717,0.39,-0.03
,1723,-0.1,
14 Aur,1706,0.23,0.19
108 Tau,1711,0.08,0.14
,1742,1.21,
,1730,0.15,0.16
18 Ori,1718,-0.04,-0.05
,1712,0.22,-0.7
,1724,-0.02,0.01
13 Alpha Aur,1708,0.8,0.44
,1731,-0.16,
,1707,1.66,0.27
Omicron Col,1743,1,0.8
20 Tau Ori,1735,-0.11,-0.47
,1737,0.93,0.62
16 Aur,1726,1.27,1.27
,1683,,
,1722,1.65,1.62
17 Aur,1728,-0.06,-0.18
,1725,1.37,
,1747,0.58,0.08
,1732,-0.19,-0.55
15 Lambda Aur,1729,0.63,0.12
21 Ori,1746,0.41,0.09
,1741,1.01,0.82
109 Tau,1739,0.93,0.69
,1753,-0.16,-0.59
,1754,-0.11,-0.44
Zeta Pic,1767,0.51,0.01
18 Aur,1734,0.24,0.1
,1758,-0.04,
15 Cam,1719,-0.03,-0.47
6 Lambda Lep,1756,-0.26,-1.03
,1748,-0.11,-0.75
7 Nu Lep,1757,-0.12,-0.4
19 Aur,1740,0.27,0.42
,1733,,
,1738,0.11,0.05
,1766,0.33,0.14
,1720,1.75,2
,1759,-0.03,-0.36
,1762,-0.05,-0.11
,1736,0.6,0.36
,1755,1.23,
,1750,0.04,-0.26
,1752,0.06,0.13
,1772,-0.19,-0.7
,1761,-0.09,-0.49
,1764,-0.12,-0.65
,1763,-0.13,-0.88
22 Ori,1765,-0.17,-0.79
,1771,0.67,0.16
20 Rho Aur,1749,-0.15,-0.57
,1769,-0.09,-0.48
Kappa Pic,1801,-0.1,
,1686,0.47,-0.13
23 Ori,1770,-0.15,-0.86
,1760,0.12,0.13
,1785,0.5,
,1778,-0.03,-0.36
22 Aur,1768,-0.04,-0.19
,1793,1.62,
16 Cam,1751,-0.03,-0.07
8 Lep,1783,-0.21,-0.87
,1777,0.12,0.09
110 Tau,1774,0.14,0.19
,1797,1.04,
,1781,-0.21,-0.87
,1782,0.5,0.01
29 Ori,1784,0.96,0.69
111 Tau,1780,0.53,-0.07
,1792,0,
28 Eta Ori,1788,-0.17,-0.92
27 Ori,1787,0.96,0.69
,1786,-0.15,-0.62
,1775,1.24,
,1776,0.04,-0.13
21 Sigma Aur,1773,1.42,1.76
25 Psi1 Ori,1789,-0.2,-0.92
Theta Pic,1818,0.07,0.07
,1813,1.2,
,1799,1.56,1.79
24 Gamma Ori,1790,-0.22,-0.87
,1779,1.11,1.16
,1800,-0.05,-0.18
,1803,-0.18,-0.75
,1812,0.4,-0.05
,1806,-0.06,-0.23
113 Tau,1798,-0.08,-0.63
112 Beta Tau,1791,-0.13,-0.49
Lambda Dor,1836,1,
,1807,-0.02,-0.04
,1795,0.14,0.21
30 Psi2 Ori,1811,-0.21,-0.93
,1796,1.15,
,1794,1.45,1.68
,1859,0.34,0.03
,1817,0.51,0.01
,1827,0.23,0.18
,1804,0.16,-0.18
115 Tau,1808,-0.1,-0.53
,1809,0.08,0.14
,1823,1.04,0.86
114 Tau,1810,-0.15,-0.76
24 Phi Aur,1805,1.4,1.67
116 Tau,1814,0.01,-0.05
117 Tau,1816,1.63,2.01
,1820,-0.18,-0.74
9 Beta Lep,1829,0.82,0.46
,1835,0.02,0.03
,1819,0.15,0.14
,1826,-0.01,-0.06
,1838,1.06,
118 Tau,1821,-0.04,-0.14
,1867,1.53,1.85
,1830,1.15,1.02
,1745,0.14,0.16
,1822,0.45,0.01
31 Ori,1834,1.57,1.85
,1833,-0.2,-0.84
,1856,0.62,0.21
17 Cam,1802,1.71,2
,2059,-0.02,-0.11
,1882,0.22,0.16
,1837,1.27,1.38
,1840,-0.19,-0.83
,1832,0.14,0.14
,1831,1.18,1.15
,1825,0.97,0.76
32 Ori,1839,-0.14,-0.55
,1824,1.11,1.12
10 Lep,1849,0,0.03
Epsilon Col,1862,1.14,1.08
33 Ori,1842,-0.18,-0.83
,1848,-0.17,-0.74
,1870,1.35,1.54
,1616,0.32,0.1
Gamma Men,1953,1.13,1.19
36 Upsilon Ori,1855,-0.26,-1.07
34 Delta Ori,1852,-0.22,-1.05
34 Delta Ori,1851,-0.16,-0.71
119 Tau,1845,2.07,2.21
,1847,-0.04,-0.23
18 Cam,1828,0.57,0.12
,1861,-0.19,-0.94
25 Chi Aur,1843,0.34,-0.46
11 Alpha Lep,1865,0.21,0.23
,1877,1.22,1.34
,1917,1.04,0.85
,1863,-0.09,-0.6
,1881,1.07,1
,1850,0.09,0.17
,1846,-0.02,-0.27
,1868,-0.18,-0.9
120 Tau,1858,0.01,-0.76
Beta Dor,1922,0.82,0.55
,1854,0.15,0.17
,1860,-0.07,-0.39
,1912,0.55,
,1888,-0.02,
35 Ori,1864,-0.14,-0.62
,1871,-0.17,-0.79
,1873,-0.17,-0.81
,1874,1.55,1.88
38 Ori,1872,0.05,0.07
,1964,1.71,1.83
37 Phi1Ori,1876,-0.16,-0.97
,1936,0.85,
,1886,-0.23,-0.91
,1930,1.45,1.8
,1887,-0.25,-1.02
39 Lambda Ori,1879,-0.18,-1.03
39 Lambda Ori,1880,0.04,-0.77
,1883,0.12,-0.07
,1909,1.12,
41 Theta1 Ori,1893,0.02,-0.88
41 Theta1 Ori,1894,0.24,-0.49
41 Theta1 Ori,1895,0.02,-0.95
41 Theta1 Ori,1896,0.09,-0.71
,1890,-0.13,-0.77
,1891,-0.15,-0.7
43 Theta2 Ori,1897,-0.09,-0.94
42 Ori,1892,-0.19,-0.94
44 Iota Ori,1899,-0.24,-1.08
121 Tau,1875,-0.09,-0.62
,1898,-0.14,-0.74
,1900,-0.12,-0.63
Iota Men,1991,-0.02,-0.33
45 Ori,1901,0.24,0.15
,1878,1.54,1.65
,1927,1.16,
,1915,0.13,0.05
46 Epsilon Ori,1903,-0.19,-1.04
,1906,-0.18,-0.81
,1869,0.26,0.15
,1889,0.43,
,1866,1.63,1.98
,1911,-0.22,-0.91
,1884,1.03,0.69
40 Phi2Ori,1907,0.95,0.64
,1960,-0.07,-0.15
122 Tau,1905,0.22,0.1
,1908,1.58,1.91
,1902,-0.07,-0.39
,1919,0.05,
Pi Men,2022,0.6,0.11
19 Cam,1857,0.01,-0.07
,1853,,
Nu1 Col,1926,0.34,
,1913,-0.17,-0.83
,1918,-0.22,-0.93
123 Zeta Tau,1910,-0.19,-0.67
Nu2 Col,1935,0.46,0.1
,1904,1.31,
,1923,-0.04,-0.72
,1920,-0.07,-0.37
,1933,-0.23,-0.92
26 Aur,1914,0.45,0.25
,1947,-0.09,
48 Sigma Ori,1931,-0.24,-1.01
,1932,-0.19,-0.86
49 Ori,1937,0.13,0.11
,1921,,
47 Omega Ori,1934,-0.11,-0.76
,1944,-0.12,-0.4
,1924,0.16,-0.5
,1929,0.06,0.1
,1942,-0.1,-0.48
,1940,0.27,0.01
Alpha Col,1956,-0.12,-0.46
,1844,1.57,1.95
125 Tau,1928,-0.15,-0.68
,1958,0.92,
,1938,0.04,-0.21
,1950,-0.2,-0.88
,1939,2.12,2.22
50 Zeta Ori,1948,-0.21,-1.07
50 Zeta Ori,1949,,
,1957,-0.16,-0.48
,1952,-0.21,-0.84
,1955,0.3,0.04
126 Tau,1946,-0.13,-0.63
,1925,0.84,0.51
,1945,-0.11,-0.39
,1966,-0.04,
,1959,0.3,0.07
,1962,-0.13,
,1951,-0.06,-0.53
,1954,,
,1972,0.01,
12 Lep,1968,0.11,
,1965,1.38,
,1973,-0.05,
,1916,1.24,
51 Ori,1963,1.17,1.06
,1967,0.4,-0.05
24 Cam,1941,0.95,0.73
,1970,1.47,1.77
,1961,-0.06,-0.64
,1975,-0.01,-0.11
,1981,0.37,
,1984,0.29,0.13
,1714,,
23 Cam,1943,0.9,
,1982,0.94,0.74
13 Gamma Lep,1983,0.47,0
,1980,0.58,
Delta Dor,2015,0.21,0.12
,1978,0.31,0.09
,1977,3.03,5.81
,1974,0.25,0.02
27 Omicron Aur,1971,0.03,0.07
Mu Col,1996,-0.28,-1.06
,1986,1.05,0.99
,2008,1.04,
